comuna,ica,fecha,id
comuna 7,30,2024-06-25,41865
comuna 13,12,2024-06-23,21211
comuna 1,91,2024-06-23,49852
comuna 5,78,2024-06-23,3023
comuna 15,44,2024-06-23,30415
comuna 15,66,2024-06-25,16491
comuna 2,40,2024-06-25,15759
comuna 8,33,2024-06-25,38099
comuna 11,83,2024-06-23,31331
comuna 10,15,2024-01-30,25632
comuna 5,72,2024-06-25,40601
comuna 15,17,2024-07-31,4935
comuna 15,31,2024-06-23,8785
comuna 2,89,2024-06-23,42944
comuna 12,85,2024-06-23,21093
comuna 7,45,2024-06-23,41897
comuna 6,62,2024-06-23,22799
comuna 9,21,2024-01-30,43781
comuna 2,93,2024-06-25,4543
comuna 7,70,2024-06-25,25158
comuna 9,36,2024-07-31,33659
comuna 11,46,2024-06-25,3741
comuna 5,32,2024-06-25,2303
comuna 3,74,2024-06-23,11452
comuna 2,63,2024-06-25,6879
comuna 3,41,2024-06-23,37888
comuna 16,90,2024-06-25,17948
comuna 13,99,2024-07-31,31910
comuna 8,15,2024-06-25,16750
comuna 7,91,2024-06-23,15941
comuna 9,26,2024-01-30,17060
comuna 13,83,2024-06-25,12781
comuna 7,31,2024-06-25,356
comuna 9,74,2024-06-25,24151
comuna 8,41,2024-06-23,14860
comuna 8,75,2024-01-30,2938
comuna 1,51,2024-01-30,42216
comuna 2,96,2024-06-23,48137
comuna 11,89,2024-06-25,26285
comuna 3,85,2024-06-23,17050
comuna 14,41,2024-07-31,39087
comuna 5,53,2024-07-31,12617
comuna 14,21,2024-07-31,14376
comuna 9,14,2024-06-23,41954
comuna 1,57,2024-07-31,22241
comuna 7,60,2024-07-31,8746
comuna 16,37,2024-07-31,48659
comuna 12,58,2024-01-30,7864
comuna 6,31,2024-06-23,669
comuna 4,30,2024-07-31,2532
comuna 2,44,2024-06-23,15839
comuna 14,10,2024-06-25,36085
comuna 4,34,2024-01-30,36963
comuna 4,97,2024-06-25,30138
comuna 16,44,2024-06-25,24886
comuna 15,68,2024-06-25,46373
comuna 9,19,2024-01-30,17972
comuna 3,24,2024-07-31,23278
comuna 14,59,2024-07-31,30600
comuna 12,83,2024-06-25,13220
comuna 1,63,2024-06-23,37800
comuna 12,19,2024-06-23,22713
comuna 9,98,2024-01-30,19425
comuna 13,20,2024-07-31,36946
comuna 5,42,2024-06-23,41342
comuna 13,97,2024-01-30,39848
comuna 9,90,2024-06-23,17838
comuna 14,53,2024-06-25,41436
comuna 4,27,2024-01-30,38461
comuna 5,19,2024-07-31,37471
comuna 7,81,2024-06-23,6540
comuna 13,14,2024-01-30,13171
comuna 8,12,2024-07-31,17939
comuna 9,84,2024-06-25,5765
comuna 14,11,2024-06-25,48644
comuna 9,63,2024-06-23,11822
comuna 14,34,2024-07-31,24661
comuna 12,53,2024-06-23,1931
comuna 7,27,2024-06-23,6983
comuna 10,39,2024-06-25,2281
comuna 3,46,2024-06-25,21283
comuna 13,39,2024-01-30,2917
comuna 6,68,2024-07-31,28517
comuna 12,65,2024-07-31,33519
comuna 15,16,2024-01-30,33192
comuna 12,28,2024-07-31,7315
comuna 5,29,2024-06-23,25391
comuna 2,74,2024-07-31,32156
comuna 12,13,2024-06-23,46976
comuna 3,59,2024-07-31,46229
comuna 4,27,2024-06-25,12739
comuna 11,45,2024-06-23,31267
comuna 9,17,2024-06-23,48545
comuna 11,42,2024-06-25,35825
comuna 15,16,2024-06-23,4789
comuna 13,22,2024-06-23,16260
comuna 7,96,2024-07-31,17321
comuna 8,53,2024-01-30,40053
comuna 6,57,2024-07-31,39603
comuna 1,16,2024-06-23,6462
comuna 10,94,2024-07-31,17919
comuna 9,80,2024-01-30,16194
comuna 13,96,2024-01-30,44721
comuna 1,39,2024-06-23,21761
comuna 9,93,2024-06-23,4543
comuna 15,57,2024-01-30,31138
comuna 13,21,2024-01-30,19140
comuna 15,69,2024-06-25,14132
